2015-07-16T10:26:44.838+0300 | GoEuro: | INFO  | (GoEuroTest.java:33) | [main] | Path param test 
2015-07-16T10:26:44.839+0300 | GoEuro: | INFO  | (GoEuroTest.java:49) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:26:44.840+0300 | GoEuro: | INFO  | (RequestService.java:34) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:27:19.439+0300 | GoEuro: | INFO  | (GoEuroTest.java:33) | [main] | Path param test 
2015-07-16T10:27:19.441+0300 | GoEuro: | INFO  | (GoEuroTest.java:49) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:27:19.441+0300 | GoEuro: | INFO  | (RequestService.java:34) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:28:36.364+0300 | GoEuro: | INFO  | (GoEuroTest.java:33) | [main] | Path param test 
2015-07-16T10:28:36.365+0300 | GoEuro: | INFO  | (GoEuroTest.java:49) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:28:36.366+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:28:36.391+0300 | GoEuro: | INFO  | (HttpCommunication.java:128) | [main] | Making request to  
2015-07-16T10:28:36.391+0300 | GoEuro: | ERROR | (HttpCommunication.java:166) | [main] | Error while making request. Exception message  
2015-07-16T10:29:38.791+0300 | GoEuro: | INFO  | (GoEuroTest.java:33) | [main] | Path param test 
2015-07-16T10:29:38.792+0300 | GoEuro: | INFO  | (GoEuroTest.java:49) | [main] | No param or more than one provided, please enter only one path param in order to make the request 
2015-07-16T10:29:38.792+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-16T10:29:38.828+0300 | GoEuro: | INFO  | (HttpCommunication.java:128) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en 
