2015-07-20T15:16:44.481+0300 | GoEuro: | INFO  | (GoEuroTest.java:38) | [main] | HERE:test 
2015-07-20T15:16:44.484+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-20T15:16:44.513+0300 | GoEuro: | INFO  | (HttpCommunication.java:132) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test {Content-Type=[application/json], Accept=[application/json]} application/json 
2015-07-20T15:16:44.556+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:16:44.560+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:16:45.232+0300 | GoEuro: | INFO  | (HttpValidator.java:58) | [main] | Validating the response that came... 
2015-07-20T15:20:46.740+0300 | GoEuro: | INFO  | (GoEuroTest.java:38) | [main] | HERE:err 
2015-07-20T15:20:46.742+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-20T15:20:46.772+0300 | GoEuro: | INFO  | (HttpCommunication.java:132) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/err {Content-Type=[application/json], Accept=[application/json]} application/json 
2015-07-20T15:20:46.812+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:20:46.814+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:20:47.459+0300 | GoEuro: | INFO  | (HttpValidator.java:58) | [main] | Validating the response that came... 
2015-07-20T15:21:05.606+0300 | GoEuro: | INFO  | (GoEuroTest.java:38) | [main] | HERE:test 
2015-07-20T15:21:05.607+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-20T15:21:05.635+0300 | GoEuro: | INFO  | (HttpCommunication.java:132) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test {Content-Type=[application/json], Accept=[application/json]} application/json 
2015-07-20T15:21:05.674+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:21:05.677+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:21:06.135+0300 | GoEuro: | INFO  | (HttpValidator.java:58) | [main] | Validating the response that came... 
2015-07-20T15:23:15.300+0300 | GoEuro: | INFO  | (GoEuroTest.java:38) | [main] | HERE:test 
2015-07-20T15:23:15.301+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-20T15:23:15.330+0300 | GoEuro: | INFO  | (HttpCommunication.java:132) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/test {Content-Type=[application/json], Accept=[application/json]} application/json 
2015-07-20T15:23:15.370+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:23:15.375+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:23:15.807+0300 | GoEuro: | INFO  | (HttpValidator.java:58) | [main] | Validating the response that came... 
2015-07-20T15:24:06.783+0300 | GoEuro: | INFO  | (GoEuroTest.java:38) | [main] | HERE:errrr 
2015-07-20T15:24:06.784+0300 | GoEuro: | INFO  | (RequestService.java:38) | [main] | Making GET request to http://api.goeuro.com/api/v2/position/suggest/en/ 
2015-07-20T15:24:06.812+0300 | GoEuro: | INFO  | (HttpCommunication.java:132) | [main] | Making request to http://api.goeuro.com/api/v2/position/suggest/en/errrr {Content-Type=[application/json], Accept=[application/json]} application/json 
2015-07-20T15:24:06.852+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:24:06.854+0300 | GoEuro: | DEBUG | (Slf4jLogger.java:62) | [main] | Unable to retrieve config: expandEntityReferences defaults to true 
2015-07-20T15:24:07.526+0300 | GoEuro: | INFO  | (HttpValidator.java:58) | [main] | Validating the response that came... 
